uranium_lead_ratio,carbon_14_ratio,radioactive_decay_series,stratigraphic_layer_depth,geological_period,paleomagnetic_data,inclusion_of_other_fossils,isotopic_composition,surrounding_rock_type,stratigraphic_position,fossil_size,fossil_weight,age
0.3878279701226205,0.4480483382491774,0.400017087586177,14.54,Paleogene,Normal polarity,True,0.6322733842996078,Conglomerate,Middle,2.29,344.88,21302
0.6571595292065406,0.9999999999,0.4130476088779494,130.88,Silurian,Normal polarity,False,0.8910652945684371,Limestone,Top,32.25,207.84,49880
0.2057191640612485,0.4234979196802544,0.4382902363275026,290.87,Cambrian,Reversed polarity,True,1.0991644104417246,Limestone,Bottom,47.45,288.11,39471
0.40458190609534,0.4307888234930182,0.2569466013146951,234.15,Neogene,Normal polarity,True,1.202079248741397,Conglomerate,Middle,29.32,210.93,31813
0.2953267280496743,0.7552364143241102,0.7678903932495833,143.09,Jurassic,Normal polarity,True,1.878437864848632,Limestone,Middle,113.62,517.94,29618
0.6885155257449043,0.129094556107688,0.6762323549889935,185.97,Devonian,Normal polarity,True,1.4350422919250332,Sandstone,Bottom,73.99,102.09,55136
0.4176728315675937,0.4921941269587195,1.126878960581212,176.79,Permian,Reversed polarity,True,0.7773638838825536,Shale,Bottom,111.06,379.42,47437
0.4139197556741254,0.3516891497498264,0.5531972228378481,131.23,Cambrian,Reversed polarity,True,1.3755891701215477,Shale,Middle,84.56,309.26,33049
0.1509687343043774,0.2610498640741079,0.2050528824251512,276.66,Triassic,Normal polarity,True,0.4560499507241424,Sandstone,Bottom,91.14,511.93,28839
0.2568775603657027,0.6143017013703371,0.5569484149013217,76.77,Cambrian,Normal polarity,False,0.6606082277856437,Sandstone,Bottom,139.34,80.42,26980
0.2469106640876364,0.2751036801739606,0.4496197933936697,65.13,Cambrian,Normal polarity,True,1.4058068703350508,Sandstone,Bottom,14.42,242.59,24087
0.9148940750056846,0.5822925375246539,0.3429881742771632,191.51,Devonian,Reversed polarity,True,1.1949562571283536,Limestone,Bottom,39.87,199.31,75245
0.6559817499280609,0.2015163090210265,0.359746244065606,69.32,Neogene,Normal polarity,True,0.9737977949565482,Limestone,Bottom,85.65,523.6,40360
0.9278293471938144,0.5559179516103963,0.2085609323520053,334.5,Cretaceous,Reversed polarity,True,1.0851380742481656,Sandstone,Bottom,48.13,187.75,79221
0.923510340527114,0.0967034566826282,0.5468937534721325,19.6,Paleogene,Normal polarity,True,0.2022322377315489,Shale,Bottom,127.31,372.52,53619
